model,accuracy,precision,recall,f1,roc_auc
Random Forest,0.7337662337662337,0.6,0.7222222222222222,0.6554621848739496,0.8157407407407408
Logistic Regression,0.7337662337662337,0.6031746031746031,0.7037037037037037,0.6495726495726496,0.8125925925925926
